Stdout: [2024-01-11T11:26:36+00:00] INFO: Started Cinc Zero at chefzero://localhost:1 with repository at /etc/chef (One version per cookbook)
Stdout: [2024-01-11T11:26:36+00:00] INFO: *** Cinc Client 18.2.7 ***
Stdout: [2024-01-11T11:26:36+00:00] INFO: Platform: x86_64-linux
Stdout: [2024-01-11T11:26:36+00:00] INFO: Cinc-client pid: 30896
Stdout: [2024-01-11T11:26:56+00:00] WARN: Run List override has been provided.
Stdout: [2024-01-11T11:26:56+00:00] WARN: Original Run List: []
Stdout: [2024-01-11T11:26:56+00:00] WARN: Overridden Run List: [recipe[aws-parallelcluster-entrypoints::install]]
Stdout: [2024-01-11T11:26:56+00:00] INFO: Run List is [recipe[aws-parallelcluster-entrypoints::install]]
Stdout: [2024-01-11T11:26:56+00:00] INFO: Run List expands to [aws-parallelcluster-entrypoints::install]
Stdout: [2024-01-11T11:26:56+00:00] INFO: Starting Cinc Client Run for ip-172-31-27-163.ec2.internal
Stdout: [2024-01-11T11:26:56+00:00] INFO: Running start handlers
Stdout: [2024-01-11T11:26:56+00:00] INFO: Start handlers complete.
Stdout: [2024-01-11T11:26:57+00:00] INFO: Loading cookbooks [aws-parallelcluster-entrypoints@3.8.0, aws-parallelcluster-shared@3.8.0, aws-parallelcluster-platform@3.8.0, aws-parallelcluster-environment@3.8.0, aws-parallelcluster-computefleet@3.8.0, aws-parallelcluster-slurm@3.8.0, aws-parallelcluster-awsbatch@3.8.0, pyenv@4.2.3, yum@7.4.13, yum-epel@5.0.2, line@4.5.13, selinux@6.1.12, nfs@5.0.0, apt@7.5.14, iptables@8.0.0, openssh@2.11.3]
Stdout: [2024-01-11T11:26:57+00:00] INFO: Skipping removal of obsoleted cookbooks from the cache
Stdout: [2024-01-11T11:26:57+00:00] INFO: Storing updated cookbooks/aws-parallelcluster-entrypoints/recipes/install.rb in the cache.
Stdout: [2024-01-11T11:26:57+00:00] INFO: Storing updated cookbooks/aws-parallelcluster-entrypoints/kitchen.entrypoints-install.yml in the cache.
Stdout: [2024-01-11T11:26:57+00:00] INFO: Storing updated cookbooks/aws-parallelcluster-entrypoints/recipes/init.rb in the cache.
Stdout: [2024-01-11T11:26:57+00:00] INFO: Storing updated cookbooks/aws-parallelcluster-entrypoints/libraries/entrypoints.rb in the cache.
Stdout: [2024-01-11T11:26:57+00:00] INFO: Storing updated cookbooks/aws-parallelcluster-entrypoints/metadata.rb in the cache.
Stdout: [2024-01-11T11:26:57+00:00] INFO: Storing updated cookbooks/aws-parallelcluster-entrypoints/metadata.json in the cache.
Stdout: [2024-01-11T11:26:57+00:00] INFO: Storing updated cookbooks/aws-parallelcluster-entrypoints/attributes/entrypoints.rb in the cache.
Stdout: [2024-01-11T11:26:57+00:00] INFO: Storing updated cookbooks/aws-parallelcluster-entrypoints/recipes/finalize.rb in the cache.
Stdout: [2024-01-11T11:26:57+00:00] INFO: Storing updated cookbooks/aws-parallelcluster-entrypoints/recipes/config.rb in the cache.
Stdout: [2024-01-11T11:26:57+00:00] INFO: Storing updated cookbooks/aws-parallelcluster-entrypoints/test/inspec.yml in the cache.
Stdout: [2024-01-11T11:26:57+00:00] INFO: Storing updated cookbooks/aws-parallelcluster-shared/resources/alinux_extras_topic.rb in the cache.
Stdout: [2024-01-11T11:26:57+00:00] INFO: Storing updated cookbooks/aws-parallelcluster-entrypoints/recipes/update.rb in the cache.
Stdout: [2024-01-11T11:26:57+00:00] INFO: Storing updated cookbooks/aws-parallelcluster-shared/resources/install_pyenv.rb in the cache.
Stdout: [2024-01-11T11:26:57+00:00] INFO: Storing updated cookbooks/aws-parallelcluster-shared/resources/activate_virtual_env.rb in the cache.
Stdout: [2024-01-11T11:26:57+00:00] INFO: Storing updated cookbooks/aws-parallelcluster-entrypoints/recipes/update_computefleet_status.rb in the cache.
Stdout: [2024-01-11T11:26:57+00:00] INFO: Storing updated cookbooks/aws-parallelcluster-shared/resources/os_type/os_type_centos7.rb in the cache.
Stdout: [2024-01-11T11:26:57+00:00] INFO: Storing updated cookbooks/aws-parallelcluster-shared/resources/node_attributes.rb in the cache.
Stdout: [2024-01-11T11:26:57+00:00] INFO: Storing updated cookbooks/aws-parallelcluster-shared/resources/os_type/os_type_alinux2.rb in the cache.
Stdout: [2024-01-11T11:26:57+00:00] INFO: Storing updated cookbooks/aws-parallelcluster-shared/resources/os_type/os_type_redhat8.rb in the cache.
Stdout:   [2024-01-11T11:26:57+00:00] INFO: Storing updated cookbooks/aws-parallelcluster-shared/resources/os_type/os_type_rocky8.rb in the cache.
Stdout: [2024-01-11T11:26:57+00:00] INFO: Storing updated cookbooks/aws-parallelcluster-shared/resources/os_type/os_type_ubuntu20+.rb in the cache.
Stdout: [2024-01-11T11:26:57+00:00] INFO: Storing updated cookbooks/aws-parallelcluster-shared/resources/package_repos/package_repos_centos7.rb in the cache.
Stdout: [2024-01-11T11:26:57+00:00] INFO: Storing updated cookbooks/aws-parallelcluster-shared/resources/os_type/partial/_os_type_common.rb in the cache.
Stdout: [2024-01-11T11:26:57+00:00] INFO: Storing updated cookbooks/aws-parallelcluster-shared/resources/package_repos/package_repos_redhat8.rb in the cache.
Stdout: [2024-01-11T11:26:57+00:00] INFO: Storing updated cookbooks/aws-parallelcluster-shared/resources/package_repos/partial/_package_repos_deb.rb in the cache.
Stdout: [2024-01-11T11:26:57+00:00] INFO: Storing updated cookbooks/aws-parallelcluster-shared/resources/package_repos/package_repos_rocky8.rb in the cache.
Stdout: [2024-01-11T11:26:57+00:00] INFO: Storing updated cookbooks/aws-parallelcluster-shared/resources/package_repos/package_repos_alinux2.rb in the cache.
Stdout: [2024-01-11T11:26:57+00:00] INFO: Storing updated cookbooks/aws-parallelcluster-shared/resources/package_repos/package_repos_ubuntu20+.rb in the cache.
Stdout: [2024-01-11T11:26:57+00:00] INFO: Storing updated cookbooks/aws-parallelcluster-shared/resources/package_repos/partial/_package_repos_rpm.rb in the cache.
Stdout: [2024-01-11T11:26:57+00:00] INFO: Storing updated cookbooks/aws-parallelcluster-shared/test/controls/install_pyenv_spec.rb in the cache.
Stdout: [2024-01-11T11:26:57+00:00] INFO: Storing updated cookbooks/aws-parallelcluster-shared/test/controls/node_attributes_spec.rb in the cache.
Stdout: [2024-01-11T11:26:57+00:00] INFO: Storing updated cookbooks/aws-parallelcluster-shared/test/controls/package_repos_spec.rb in the cache.
Stdout: [2024-01-11T11:26:57+00:00] INFO: Storing updated cookbooks/aws-parallelcluster-shared/test/controls/setup_envars_spec.rb in the cache.
Stdout: [2024-01-11T11:26:57+00:00] INFO: Storing updated cookbooks/aws-parallelcluster-shared/test/inspec.yml in the cache.
